Марка;Ссылка;Цена в $;Цена в грн.;Город
Audi Q3 2020;https://auto.ria.com/newauto/auto-audi-q3-1849673.html;46 012 $;1 300 737 грн;Дніпро (Дніпропетровськ)
Audi Q8 2020;https://auto.ria.com/newauto/auto-audi-q8-1850064.html;84 067 $;2 376 556 грн;Дніпро (Дніпропетровськ)
Audi e-tron 2020;https://auto.ria.com/newauto/auto-audi-e-tron-1834087.html;93 790 $;2 651 414 грн;Дніпро (Дніпропетровськ)
Audi Q8 2020;https://auto.ria.com/newauto/auto-audi-q8-1846570.html;89 687 $;2 535 410 грн;Дніпро (Дніпропетровськ)
Audi Q7 2020;https://auto.ria.com/newauto/auto-audi-q7-1850050.html;91 300 $;2 579 882 грн;Київ
Audi Q8 2020;https://auto.ria.com/newauto/auto-audi-q8-1850957.html;90 694 $;2 563 876 грн;Дніпро (Дніпропетровськ)
Audi Q7 2020;https://auto.ria.com/newauto/auto-audi-q7-1850510.html;91 677 $;2 591 673 грн;Дніпро (Дніпропетровськ)
Audi Q7 2020;https://auto.ria.com/newauto/auto-audi-q7-1849285.html;83 005 $;2 345 486 грн;Одеса
Audi Q8 2020;https://auto.ria.com/newauto/auto-audi-q8-1834673.html;98 300 $;2 777 683 грн;Київ
Audi Q5 2020;https://auto.ria.com/newauto/auto-audi-q5-1844142.html;52 045 $;1 471 298 грн;Дніпро (Дніпропетровськ)
Audi Q7 2020;https://auto.ria.com/newauto/auto-audi-q7-1849580.html;90 780 $;2 565 189 грн;Київ
Audi Q7 2020;https://auto.ria.com/newauto/auto-audi-q7-1848630.html;91 761 $;2 592 907 грн;Одеса
Audi Q8 2020;https://auto.ria.com/newauto/auto-audi-q8-1848121.html;102 022 $;2 698 749 грн;Запоріжжя
Audi Q8 2020;https://auto.ria.com/newauto/auto-audi-q8-1847961.html;95 179 $;2 690 685 грн;Дніпро (Дніпропетровськ)
Audi Q3 2020;https://auto.ria.com/newauto/auto-audi-q3-1848434.html;51 890 $;1 466 916 грн;Дніпро (Дніпропетровськ)
Audi Q8 2020;https://auto.ria.com/newauto/auto-audi-q8-1820506.html;96 700 $;2 732 471 грн;Київ
Audi Q8 2020;https://auto.ria.com/newauto/auto-audi-q8-1841037.html;97 320 $;2 750 000 грн;Одеса
Audi Q8 2020;https://auto.ria.com/newauto/auto-audi-q8-1850055.html;76 900 $;2 172 979 грн;Київ
Audi Q7 2020;https://auto.ria.com/newauto/auto-audi-q7-1846380.html;88 874 $;2 511 325 грн;Одеса
Audi Q8 2020;https://auto.ria.com/newauto/auto-audi-q8-1850123.html;100 251 $;2 834 051 грн;Дніпро (Дніпропетровськ)
Audi Q8 2020;https://auto.ria.com/newauto/auto-audi-q8-1850123.html;100 251 $;2 834 051 грн;Дніпро (Дніпропетровськ)
Audi A6 2020;https://auto.ria.com/newauto/auto-audi-a6-1834082.html;81 545 $;2 305 240 грн;Дніпро (Дніпропетровськ)
Audi Q5 2020;https://auto.ria.com/newauto/auto-audi-q5-1847464.html;61 127 $;1 728 027 грн;Дніпро (Дніпропетровськ)
Audi e-tron 2020;https://auto.ria.com/newauto/auto-audi-e-tron-1848762.html;91 388 $;2 583 511 грн;Дніпро (Дніпропетровськ)
Audi Q8 2020;https://auto.ria.com/newauto/auto-audi-q8-1841557.html;93 781 $;2 650 000 грн;Одеса
Audi Q8 2020;https://auto.ria.com/newauto/auto-audi-q8-1846166.html;96 198 $;2 718 290 грн;Одеса
Audi Q7 2020;https://auto.ria.com/newauto/auto-audi-q7-1846192.html;85 786 $;2 424 059 грн;Одеса
Audi Q8 2020;https://auto.ria.com/newauto/auto-audi-q8-1833011.html;82 600 $;2 334 045 грн;Київ
Audi Q3 2020;https://auto.ria.com/newauto/auto-audi-q3-1844402.html;53 611 $;1 515 553 грн;Дніпро (Дніпропетровськ)
Audi Q3 2020;https://auto.ria.com/newauto/auto-audi-q3-1847390.html;60 863 $;1 720 568 грн;Дніпро (Дніпропетровськ)
Audi e-tron Sportback 2020;https://auto.ria.com/newauto/auto-audi-e-tron-sportback-1848766.html;104 253 $;2 947 179 грн;Дніпро (Дніпропетровськ)
Audi RS Q8 2020;https://auto.ria.com/newauto/auto-audi-rs-q8-1831393.html;189 319 $;5 349 614 грн;Київ
Audi SQ7 2020;https://auto.ria.com/newauto/auto-audi-sq7-1833752.html;181 036 $;5 115 567 грн;Київ
Audi Q7 2020;https://auto.ria.com/newauto/auto-audi-q7-1848028.html;81 658 $;2 308 451 грн;Дніпро (Дніпропетровськ)
Audi S6 2020;https://auto.ria.com/newauto/auto-audi-s6-1849698.html;95 029 $;2 686 436 грн;Дніпро (Дніпропетровськ)
Audi Q7 2020;https://auto.ria.com/newauto/auto-audi-q7-1850058.html;84 635 $;2 392 612 грн;Дніпро (Дніпропетровськ)
Audi Q7 2020;https://auto.ria.com/newauto/auto-audi-q7-1846734.html;97 938 $;2 767 440 грн;Одеса
Audi Q8 2020;https://auto.ria.com/newauto/auto-audi-q8-1848711.html;84 782 $;2 242 708 грн;Запоріжжя
Audi Q7 2020;https://auto.ria.com/newauto/auto-audi-q7-1848539.html;103 653 $;2 928 932 грн;Одеса
Audi Q8 2020;https://auto.ria.com/newauto/auto-audi-q8-1848545.html;96 861 $;2 737 014 грн;Одеса
Audi Q7 2020;https://auto.ria.com/newauto/auto-audi-q7-1846383.html;108 977 $;3 079 391 грн;Одеса
Audi A6 2020;https://auto.ria.com/newauto/auto-audi-a6-1846169.html;64 688 $;1 827 908 грн;Одеса
